keyword,aspect,sentimen
antara bandara dan flyover janti,surrounding,positive
parkir luas,facility,positive
fast check in,service,positive
pelayanan juga ramah,staff,positive
" hotel di harga 300rb an, mungkin perlu penambahan fasilitas",value,negative
ada sepeda untuk jalan2,facility,positive
 jalan menuju resort rusak,surrounding,negative
petugas F&B kurang gerak cepat,staff,negative
AC nya berdengung,facility,negative
Warnanya dah kusam,quality,negative
harusnya dapet kamar pengganti sih,service,negative
Posisi hotel agak sedikit sulit dicari,location,negative
Letak cukup strategis dari pusat kota Yogyakarta,surrounding,positive
harganya terjangkau,value,positive
Kamar hotel cukup bersih,room,positive
suasana yang sangat nyaman,quality,positive
 petugasnya ramah ramah,staff,positive
lokasi star tegis ,location,positive
hotel sekelas bintang 4 loh sangat mengecewakan,value,negative
makanannya kurang enak,meal,negative
dikamar pun sama naek turun suhu AC ny,room,negative
hairdryer juga rusak,facility,negative
Lokasi hotel sangat strategis,location,positive
kamar luas dan bersih,room,positive
hotel terletak tepat di seberang pasar Kranggan,surrounding,positive
"handuk hotel, sy sarankan untuk segera diganti, ud mulai menguning",facility,negative
bau karpet krg sedap (kayak blm kering sempurna).lorong/lobby perlu dikasih wewangian,quality,negative
rasanya tdk enak,meal,negative
Overall dngn harga yg terjangkau,value,positive
salah faham dngn slh satu petugas hotel,staff,negative
hotel yang tidak mahal tapi lumayan nyaman,value,positive
hotel yang lumayan bersih dan nyaman,quality,positive
.di sekitar hotel banyak restoran dan laundry,surrounding,positive
shower air panas yang buruk,facility,negative
 toilet yang rusak,room,negative
Colokan listrik di kamar hotel hanya satu,facility,negative
menu makanan hotel variasi,meal,positive
kamar bersih ,room,positive
staff ramah,staff,positive
lokasinya strategis ,location,positive
depan hotel bnyk rumah makan,surrounding,positive
Tidak ada elevator,facility,negative
 Bau asap rokok dimana mana,quality,negative
dekat dengan pusat kota,surrounding,positive
kamar lumayan luas,room,positive
lumayan bersih,quality,positive
staf nya lumayan ramah,staff,positive
makanan nya lumayan enak,meal,positive
renang yang lumayan luas dan bersih,facility,positive
dekat dengan minimarket dan tempat makan,surrounding,positive
aroma bau pesing dari WC,room,negative
 Petugas saat check in kurang begitu ramah,staff,negative
bersebelahan dengan JogjaCityMall ,surrounding,positive
Menu variasi breakfast yang beragam,meal,positive
check in lama sekali,service,negative
pelayanan di receptionist sangat tidak memuaskan/tidak ramah,staff,negative
"Makanannya enak,",meal,positive
toiletnya bermasalah,room,negative
karyawannya cukup baik,staff,positive
hotel ini menjadi satu ama Yogya Mall city ,surrounding,positive
bersebelahan dg mall,surrounding,positive
hotel ini benar2 buruk.,quality,negative
 Kurang variasi nya,meal,negative
Minta extra shampoo dan bath soap jg tdk dikirim ke kamar,facility,negative
tdk cocok klo dikasi *5,value,negative
 lantai sangat berdebu dan bau,quality,negative
Sprei bau dan lembab,room,negative
Dengan harga per tgl tersebut yg tdk bs saya blg murah,value,negative
internet di kamar lambat,facility,negative
Rasanya juga gak enak,meal,negative
Staff restoran terkesan tdk ramah,staff,negative
 parkir kecil dan sempit,facility,negative
Bellboy tidak tanggap,staff,negative
Cek in lama,service,negative
Kunci kamar trouble,room,negative
gak memiliki etika,service,negative
house keeping nya masuk kamar tanpa permisi,staff,negative
makanan yang rasanya juga begitu2 saja,meal,negative
dekat ke Jalan Ring Road Utara,surrounding,positive
Sarapan bervariasi & enak,meal,positive
staf hotel juga ramah,staff,positive
Kamar termasuk besar,room,positive
disamping Jogja City Mall,surrounding,positive
Kamarnya cukup luas ,room,positive
kamar mandi ada banyak lalat dan diblkng bathtube sangat kotor,facility,negative
makanan kurang berkualitas,meal,negative
dengan Jogja City Mall,surrounding,positive
"Kamarnya luas, bednya luas",room,positive
nyaman,quality,positive
Breakfast lumayan enak dan lengkap,meal,positive
sebelahnya mall dan di dekat pusat kota,surrounding,positive
Tetapi tidal terawat,quality,negative
 Ruangan yang kotor,room,negative
tidak kelihatan kalo ini bintang 4,value,negative
Wifi tidak terlalu kuat ,facility,negative
Apalagi dengan kapasitas parkirnya,facility,negative
View indah kolam renang,room,positive
spreinya byk noda,room,negative
Liftnya mengerikan,facility,negative
nasinya keras bgt,meal,negative
view nya menurut saya bagus,room,positive
staf sangat jauh dari ramah ,staff,negative
hambar,meal,negative
dekat mall dan punya akses ke mall,surrounding,positive
Tempat tidur twin nya besar,room,positive
banyak debu dan lantai lengket,quality,negative
Kolam renang anak di lantai atas airnya hijau dan keruh,facility,negative
rasa biasa saja,meal,negative
dispensasi late check out saja tidak diperbolehkan,service,negative
di area mahasiswa tinggal ,surrounding,positive
Ada kolam renang,facility,positive
fasilitas kamar termasuk standa,room,neutral
kebersihan cukup baik,quality,positive
cukup ramah dan cepat,staff,positive
menu nya tidak terlalu banyak,meal,negative
bisa jadi pilihan yang tepat,value,positive
kebersihan lantai dan linen ok,quality,positive
tidak seenak,meal,negative
kebanyaakan ngegosip ,staff,negative
budget ringan,value,positive
 Kebersihan masi ternilai buruk,quality,negative
 harga yg murah,value,positive
kamar luas,room,positive
sangat murah,value,positive
security yang ramah dan sigap,staff,positive
makanan kurang bervariasi.,meal,negative
lumayan nyaman,service,positive
lumayan jauh dari malioboro,surrounding,negative
Sarapan lumayan,meal,positive
receptionist saat sy menginap kurang ramah,staff,negative
wifi lambat sekali,facility,negative
Kamar terlalu sempit,room,negative
banyak tempat kuliner,surrounding,positive
ramah dan cekatan,staff,positive
seperti tidak dibersihkan,room,negative
jauh dari pusat kota,location,negative
Harganya cukup mahal,value,negative
receptionis kurang ramah,staff,negative
kamar byk spot air,room,negative
ac tidak berfungsi,room,negative
fasilitas sudah usang,facility,negative
fasilitas sudah usang,quality,negative
cukup affordable untuk sekeas hotel bintang 4,value,positive
Makanan pagi cukup lengkap,meal,positive
Parkir mobil luas,facility,positive
murah dan lokasinya pas,value,positive
Ga sesuai ekspektasi,value,negative
masih jauh dari standart.,value,negative
Kamarnya sempit,room,negative
Dekat bgd SM candi sewu dan Prambanan,surrounding,positive
hotel yang recomended,value,positive
tidak sesuai,value,negative
dekat malioboro,surrounding,positive
makanan ringannya enak,meal,positive
Hotel sangat strategis,location,positive
nyaman ditempati,room,positive
"hotel ada kolam renang, Bar, serta mushola",facility,positive
cukup bervariasi,meal,positive
cukup strategis,location,positive
cukup recommended,value,positive
berdebu sekali,room,negative
Wifinya kurang bagus,facility,negative
buruk,meal,negative
hotel budget,value,positive
Listrik berkali2 mati,facility,negative
tidak seimbang dg harga,value,negative
staf merespon dengan baik,staff,positive
Staf ramah,staff,positive
banyak Negatif,meal,negative
AC dan safetybox saya tidak berfungsi,room,negative
Wifi tidak terlalu cepat.,facility,negative
lebih murah,value,positive
sarapan enak,meal,positive
AC yang berisik,room,negative
